"","mtry","splitrule","min.node.size","Accuracy","Kappa","AccuracySD","KappaSD"
"98",18,"gini",5,0.818696055196055,0.149114518395481,0.00699554979418102,0.0331950976919265
"99",18,"gini",10,0.821495857195857,0.155135339814559,0.00672738908035523,0.034762499428267
"100",18,"hellinger",1,0.819694356094356,0.150250000337375,0.00889719180313999,0.0407150459278992
"101",18,"hellinger",5,0.819794455594456,0.148015000847317,0.0082837271984132,0.0379155698179688
"102",18,"hellinger",10,0.820095756095756,0.145578297457796,0.00790410646050933,0.0369169745629012
"103",19,"gini",1,0.818097654197654,0.153325121674692,0.00847037041357942,0.0383668047037046
"104",19,"gini",5,0.819495455795456,0.155238905336285,0.00691806135431843,0.0351444153420627
"105",19,"gini",10,0.820196456196456,0.154293680001792,0.00681789126412642,0.0348773681601593
"106",19,"hellinger",1,0.818996555496555,0.14677824061195,0.0063969151170388,0.0281109068319917
"107",19,"hellinger",5,0.819895755895756,0.147767776717645,0.00781857060141843,0.0344775548712649
"108",19,"hellinger",10,0.818995755295755,0.140119339951009,0.00824132380465328,0.0377943435367889
"109",20,"gini",1,0.819396355096355,0.158047786695837,0.0064422287766067,0.0321985706861238
"110",20,"gini",5,0.819895755695756,0.156657959343342,0.0081115272012543,0.039175277717011
"111",20,"gini",10,0.820696356096356,0.151795035737531,0.00704995230922124,0.0367955951492399
"112",20,"hellinger",1,0.817995554095554,0.144040460358469,0.00742397167838164,0.0356218067050785
"113",20,"hellinger",5,0.819795755295755,0.148491882203905,0.00769425622345395,0.0357639570006178
"114",20,"hellinger",10,0.820094655794656,0.143815689155806,0.00878279048567005,0.0449900779032295
"115",21,"gini",1,0.818395254595255,0.154449817582571,0.00759876219103927,0.0358866388039139
"116",21,"gini",5,0.820295755895756,0.156652348619763,0.00742036666795874,0.0337146538980114
"117",21,"gini",10,0.820196956296956,0.151850555270331,0.00685283564948752,0.0341674080554728
"118",21,"hellinger",1,0.819096355096355,0.148484852839116,0.00666672315880336,0.0317751540234631
"119",21,"hellinger",5,0.819195454995455,0.144266239076174,0.00724172083882031,0.040451007750583
"120",21,"hellinger",10,0.820594856394856,0.147702742897894,0.00851640992148617,0.0392583066545472
"121",22,"gini",1,0.818396054196054,0.15882509798411,0.00670759933728294,0.0344982831941091
"122",22,"gini",5,0.819695355495355,0.152819271468596,0.00923369867673139,0.0439014715877676
"123",22,"gini",10,0.818895254595255,0.149606180539382,0.00809896039838631,0.0373255926641096
"124",22,"hellinger",1,0.819496855396855,0.150730785991799,0.00584732195725807,0.0307439271622173
"125",22,"hellinger",5,0.818696154896155,0.145631034848187,0.00592353025013824,0.0259297670752361
"126",22,"hellinger",10,0.821096356496356,0.149302409238597,0.00681327661262324,0.031712987191155
"127",23,"gini",1,0.819695655195655,0.164688965131652,0.00731576576837639,0.0347260227055493
"128",23,"gini",5,0.819295054995055,0.155567658040846,0.00827361665528046,0.0348496281666752
"129",23,"gini",10,0.818895554695555,0.149541723393461,0.0066912359822979,0.0324905930634955
"130",23,"hellinger",1,0.818096454796455,0.143875190676572,0.00698959554488091,0.030057203509787
"131",23,"hellinger",5,0.820695156295156,0.152584697394748,0.00806363681044503,0.0354635752710774
"132",23,"hellinger",10,0.820095056395056,0.145169232052228,0.00791759916562678,0.0345573108045409
